VERIS Threat Action,MITRE ATTACK Technique,NIST 800-53 Control
action.error.variety.misdelivery,,AT-4
action.error.variety.misdelivery,,AT-6
action.error.variety.misdelivery,,AU-5
action.error.variety.misdelivery,,AU-6
action.error.variety.misdelivery,,AU-12
action.error.variety.misdelivery,,AU-13
action.error.variety.misdelivery,,PE-4
action.error.variety.misinformation,,AT-2
action.error.variety.misinformation,,AT-3
action.error.variety.omission,,AT-3
action.error.variety.omission,,AU-3
action.error.variety.omission,,AU-10
action.error.variety.omission,,CM-3
action.error.variety.omission,,SA-8
action.error.variety.omission,,SA-21
action.error.variety.omission,,SI-10
action.error.variety.physical_accidents,,IR-4
action.error.variety.physical_accidents,,PE-10
action.error.variety.physical_accidents,,PE-11
action.error.variety.physical_accidents,,PE-12
action.error.variety.physical_accidents,,PE-13
action.error.variety.physical_accidents,,PE-14
action.error.variety.physical_accidents,,PE-15
action.error.variety.physical_accidents,,PE-16
action.error.variety.physical_accidents,,PE-17
action.error.variety.physical_accidents,,PL-4
action.error.variety.physical_accidents,,PS-5
action.error.variety.physical_accidents,,SA-8
action.error.variety.programming_error,,AU-6
action.error.variety.programming_error,,CM-2
action.error.variety.programming_error,,CM-3
action.error.variety.programming_error,,CM-5
action.error.variety.programming_error,,CM-6
action.error.variety.programming_error,,CM-7
action.error.variety.programming_error,,CM-9
action.error.variety.programming_error,,PL-8
action.error.variety.programming_error,,RA-5
action.error.variety.programming_error,,SA-5
action.error.variety.programming_error,,SA-8
action.error.variety.programming_error,,SA-10
action.error.variety.programming_error,,SA-11
action.error.variety.programming_error,,SA-15
action.error.variety.programming_error,,SI-3
action.error.variety.publishing_error,,AC-2
action.error.variety.publishing_error,,AC-3
action.error.variety.publishing_error,,AC-4
action.error.variety.publishing_error,,AC-6
action.error.variety.publishing_error,,AC-16
action.error.variety.publishing_error,,AT-2
action.error.variety.publishing_error,,AT-3
action.error.variety.publishing_error,,AT-4
action.error.variety.publishing_error,,AT-6
action.error.variety.publishing_error,,AU-5
action.error.variety.publishing_error,,AU-6
action.error.variety.publishing_error,,AU-12
action.error.variety.publishing_error,,IR-9
action.error.variety.publishing_error,,PE-4
action.error.variety.publishing_error,,SC-7
action.error.variety.publishing_error,,SC-37
action.error.vector.carelessness,,AT-3
action.error.vector.carelessness,,AT-4
action.error.vector.carelessness,,CP-2
action.error.vector.carelessness,,PS-3
action.error.vector.carelessness,,PS-4
action.error.vector.carelessness,,SA-15
action.error.vector.carelessness,,SI-9
action.error.vector.inadequate_personnel,,AT-2
action.error.vector.inadequate_personnel,,AT-3
action.error.vector.inadequate_personnel,,PM-2
action.error.vector.inadequate_personnel,,PM-6
action.error.vector.inadequate_personnel,,PM-13
action.error.vector.inadequate_personnel,,PM-19
action.error.vector.inadequate_personnel,,PM-29
action.error.vector.inadequate_processes,,SR-1
action.error.vector.inadequate_processes,,CA-2
action.error.vector.inadequate_processes,,PM-5
action.error.vector.inadequate_processes,,SA-3
action.error.vector.inadequate_processes,,SA-15
action.error.vector.inadequate_processes,,SR-3
action.error.vector.inadequate_technology,,SC-5
action.error.vector.random_error,,AC-3
action.error.vector.random_error,,SC-7
action.error.vector.random_error,,SI-7
action.error.vector.random_error,,SI-10
action.error.vector.random_error,,SI-11
action.misuse.variety.data_mishandling,,AC-4
action.misuse.variety.data_mishandling,,AC-5
action.misuse.variety.data_mishandling,,AC-6
action.misuse.variety.data_mishandling,,AU-13
action.misuse.variety.data_mishandling,,MP-2
action.misuse.variety.data_mishandling,,MP-3
action.misuse.variety.data_mishandling,,MP-4
action.misuse.variety.data_mishandling,,MP-5
action.misuse.variety.data_mishandling,,MP-6
action.misuse.variety.data_mishandling,,MP-7
action.misuse.variety.data_mishandling,,MP-8
action.misuse.variety.data_mishandling,,PE-19
action.misuse.variety.data_mishandling,,PS-6
action.misuse.variety.data_mishandling,,SC-7
action.misuse.variety.data_mishandling,,SC-8
action.misuse.variety.data_mishandling,,SC-11
action.misuse.variety.data_mishandling,,SC-28
action.misuse.variety.data_mishandling,,SI-4
action.misuse.variety.data_mishandling,,SR-12
action.misuse.variety.email_misuse,,AU-2
action.misuse.variety.email_misuse,,AU-3
action.misuse.variety.email_misuse,,AU-6
action.misuse.variety.email_misuse,,AU-12
action.misuse.variety.email_misuse,,AU-13
action.misuse.variety.email_misuse,,AU-14
action.misuse.variety.email_misuse,,AU-16
action.misuse.variety.illicit_content,,AU-12
action.misuse.variety.illicit_content,,CA-7
action.misuse.variety.illicit_content,,CM-3
action.misuse.variety.illicit_content,,CM-8
action.misuse.variety.illicit_content,,PE-6
action.misuse.variety.illicit_content,,PE-20
action.misuse.variety.illicit_content,,SI-4
action.misuse.variety.knowledge_abuse,,AC-4
action.misuse.variety.knowledge_abuse,,AC-5
action.misuse.variety.knowledge_abuse,,AC-6
action.misuse.variety.knowledge_abuse,,AU-13
action.misuse.variety.knowledge_abuse,,PE-19
action.misuse.variety.knowledge_abuse,,PS-2
action.misuse.variety.knowledge_abuse,,PS-6
action.misuse.variety.knowledge_abuse,,SC-7
action.misuse.variety.knowledge_abuse,,SI-4
action.misuse.variety.net_misuse,,AC-2
action.misuse.variety.net_misuse,,AC-3
action.misuse.variety.net_misuse,,AC-5
action.misuse.variety.net_misuse,,AC-6
action.misuse.variety.net_misuse,,AC-13
action.misuse.variety.net_misuse,,AC-16
action.misuse.variety.net_misuse,,AC-24
action.misuse.variety.privilege_abuse,,AC-2
action.misuse.variety.privilege_abuse,,AC-3
action.misuse.variety.privilege_abuse,,AC-5
action.misuse.variety.privilege_abuse,,AC-6
action.misuse.variety.privilege_abuse,,AC-14
action.misuse.variety.privilege_abuse,,AC-16
action.misuse.variety.privilege_abuse,,AC-24
action.misuse.variety.privilege_abuse,,AT-3
action.misuse.variety.privilege_abuse,,PM-13
action.misuse.variety.unapproved_hardware,,AC-2
action.misuse.variety.unapproved_hardware,,AC-3
action.misuse.variety.unapproved_hardware,,AC-5
action.misuse.variety.unapproved_hardware,,AC-6
action.misuse.variety.unapproved_hardware,,AC-14
action.misuse.variety.unapproved_hardware,,AC-16
action.misuse.variety.unapproved_hardware,,AC-24
action.misuse.variety.unapproved_software,,AU-12
action.misuse.variety.unapproved_software,,CA-7
action.misuse.variety.unapproved_software,,CM-3
action.misuse.variety.unapproved_software,,CM-8
action.misuse.variety.unapproved_software,,PE-6
action.misuse.variety.unapproved_software,,PE-20
action.misuse.variety.unapproved_software,,SI-4
action.misuse.variety.unapproved_workaround,,AC-2
action.misuse.variety.unapproved_workaround,,AC-20
action.misuse.variety.unapproved_workaround,,AT-2
action.misuse.variety.unapproved_workaround,,AU-12
action.misuse.variety.unapproved_workaround,,AU-13
action.misuse.variety.unapproved_workaround,,CA-7
action.misuse.variety.unapproved_workaround,,PM-13
action.misuse.variety.unapproved_workaround,,PM-14
action.misuse.vector.lan_access,,AC-2
action.misuse.vector.lan_access,,AU-12
action.misuse.vector.lan_access,,AU-13
action.misuse.vector.lan_access,,CA-7
action.misuse.vector.non-corporate,,PE-4
action.misuse.vector.non-corporate,,PE-5
action.misuse.vector.non-corporate,,PE-6
action.misuse.vector.non-corporate,,PE-8
action.misuse.vector.non-corporate,,PE-9
action.misuse.vector.non-corporate,,PE-20
action.misuse.vector.physical_access,,PE-4
action.misuse.vector.physical_access,,PE-5
action.misuse.vector.physical_access,,PE-6
action.misuse.vector.physical_access,,PE-8
action.misuse.vector.physical_access,,PE-9
action.misuse.vector.physical_access,,PE-20
action.misuse.vector.remote_access,,AC-17
action.misuse.vector.remote_access,,AC-19
action.misuse.vector.remote_access,,AC-20
action.misuse.vector.remote_access,,SC-15
action.hacking.variety.abuse_of_functionality,T1609,AC-2
action.hacking.variety.abuse_of_functionality,T1609,AC-3
action.hacking.variety.abuse_of_functionality,T1563.002,AC-4
action.hacking.variety.abuse_of_functionality,T1578.003,AC-5
action.hacking.variety.abuse_of_functionality,T1609,AC-6
action.hacking.variety.abuse_of_functionality,T1137.002,AC-10
action.hacking.variety.abuse_of_functionality,T1563.002,AC-11
action.hacking.variety.abuse_of_functionality,T1563.002,AC-12
action.hacking.variety.abuse_of_functionality,T1137.002,AC-14
action.hacking.variety.abuse_of_functionality,T1548.003,AC-16
action.hacking.variety.abuse_of_functionality,T1609,AC-17
action.hacking.variety.abuse_of_functionality,T1072,AC-20
action.hacking.variety.abuse_of_functionality,T1569.002,CA-7
action.hacking.variety.abuse_of_functionality,T1578.003,CA-8
action.hacking.variety.abuse_of_functionality,T1127.001,CM-2
action.hacking.variety.abuse_of_functionality,T1543.002,CM-3
action.hacking.variety.abuse_of_functionality,T1578.003,CM-5
action.hacking.variety.abuse_of_functionality,T1127.001,CM-6
action.hacking.variety.abuse_of_functionality,T1127,CM-7
action.hacking.variety.abuse_of_functionality,T1127.001,CM-8
action.hacking.variety.abuse_of_functionality,T1578.003,IA-2
action.hacking.variety.abuse_of_functionality,T1578.003,IA-4
action.hacking.variety.abuse_of_functionality,T1563.001,IA-5
action.hacking.variety.abuse_of_functionality,T1578.003,IA-6
action.hacking.variety.abuse_of_functionality,T1053,IA-8
action.hacking.variety.abuse_of_functionality,T1059,IA-9
action.hacking.variety.abuse_of_functionality,T1127.001,RA-5
action.hacking.variety.abuse_of_functionality,T1505.002,SA-10
action.hacking.variety.abuse_of_functionality,T1505.002,SA-11
action.hacking.variety.abuse_of_functionality,T1505.002,SR-11
action.hacking.variety.abuse_of_functionality,T1543.002,SA-22
action.hacking.variety.abuse_of_functionality,T1559.002,SC-3
action.hacking.variety.abuse_of_functionality,T1609,SC-7
action.hacking.variety.abuse_of_functionality,T1563.001,SC-12
action.hacking.variety.abuse_of_functionality,T1072,SC-17
action.hacking.variety.abuse_of_functionality,T1059,SC-18
action.hacking.variety.abuse_of_functionality,T1563.001,SC-23
action.hacking.variety.abuse_of_functionality,T1548.004,SC-34
action.hacking.variety.abuse_of_functionality,T1563.002,SC-46
action.hacking.variety.abuse_of_functionality,T1059,SI-2
action.hacking.variety.abuse_of_functionality,T1569.002,SI-3
action.hacking.variety.abuse_of_functionality,T1127.001,SI-4
action.hacking.variety.abuse_of_functionality,T1127,SI-7
action.hacking.variety.abuse_of_functionality,T1127,SI-10
action.hacking.variety.abuse_of_functionality,T1548.004,SI-12
action.hacking.variety.abuse_of_functionality,T1218.012,SI-15
action.hacking.variety.abuse_of_functionality,T1543.002,SI-16
action.hacking.variety.abuse_of_functionality,T1072,SI-23
action.hacking.variety.abuse_of_functionality,T1505.002,SR-4
action.hacking.variety.abuse_of_functionality,T1505.002,SR-5
action.hacking.variety.abuse_of_functionality,T1505.002,SR-6
action.hacking.variety.brute_force,T1110.004,AC-2
action.hacking.variety.brute_force,T1110.004,AC-3
action.hacking.variety.brute_force,T1110.004,AC-5
action.hacking.variety.brute_force,T1110.004,AC-6
action.hacking.variety.brute_force,T1110.004,AC-7
action.hacking.variety.brute_force,T1110.004,AC-20
action.hacking.variety.brute_force,T1110.004,CA-7
action.hacking.variety.brute_force,T1110.004,CM-2
action.hacking.variety.brute_force,T1110.004,CM-6
action.hacking.variety.brute_force,T1110.004,IA-2
action.hacking.variety.brute_force,T1110.004,IA-4
action.hacking.variety.brute_force,T1110.004,IA-5
action.hacking.variety.brute_force,T1110.004,IA-11
action.hacking.variety.brute_force,T1110.004,SI-4
action.hacking.variety.buffer_overflow,T1203,AC-4
action.hacking.variety.buffer_overflow,T1203,AC-6
action.hacking.variety.buffer_overflow,T1203,CA-7
action.hacking.variety.buffer_overflow,T1203,CM-8
action.hacking.variety.buffer_overflow,T1203,SC-2
action.hacking.variety.buffer_overflow,T1203,SC-3
action.hacking.variety.buffer_overflow,T1203,SC-7
action.hacking.variety.buffer_overflow,T1203,SC-18
action.hacking.variety.buffer_overflow,T1203,SC-29
action.hacking.variety.buffer_overflow,T1203,SC-30
action.hacking.variety.buffer_overflow,T1203,SC-39
action.hacking.variety.buffer_overflow,T1203,SI-3
action.hacking.variety.buffer_overflow,T1203,SI-4
action.hacking.variety.buffer_overflow,T1203,SI-7
action.hacking.variety.dos,T1498,AC-3
action.hacking.variety.dos,T1498,AC-4
action.hacking.variety.dos,T1498,CA-7
action.hacking.variety.dos,T1498,CM-6
action.hacking.variety.dos,T1498,CM-7
action.hacking.variety.dos,T1498,SC-7
action.hacking.variety.dos,T1499.004,SI-4
action.hacking.variety.dos,T1498,SI-10
action.hacking.variety.dos,T1498,SI-15
action.hacking.variety.exploit_misconfig,T1548.002,AC-2
action.hacking.variety.exploit_misconfig,T1548.002,AC-3
action.hacking.variety.exploit_misconfig,T1574.010,AC-4
action.hacking.variety.exploit_misconfig,T1548.002,AC-5
action.hacking.variety.exploit_misconfig,T1574.011,AC-6
action.hacking.variety.exploit_misconfig,T1558.004,AC-16
action.hacking.variety.exploit_misconfig,T1558.004,AC-17
action.hacking.variety.exploit_misconfig,T1558.004,AC-18
action.hacking.variety.exploit_misconfig,T1558.004,AC-19
action.hacking.variety.exploit_misconfig,T1210,CA-2
action.hacking.variety.exploit_misconfig,T1210,CA-7
action.hacking.variety.exploit_misconfig,T1548.002,CA-8
action.hacking.variety.exploit_misconfig,T1548.002,CM-2
action.hacking.variety.exploit_misconfig,T1574.011,CM-5
action.hacking.variety.exploit_misconfig,T1548.002,CM-6
action.hacking.variety.exploit_misconfig,T1210,CM-7
action.hacking.variety.exploit_misconfig,T1210,CM-8
action.hacking.variety.exploit_misconfig,T1548.002,IA-2
action.hacking.variety.exploit_misconfig,T1558.004,IA-5
action.hacking.variety.exploit_misconfig,T1210,IA-8
action.hacking.variety.exploit_misconfig,T1548.002,RA-5
action.hacking.variety.exploit_misconfig,T1210,RA-10
action.hacking.variety.exploit_misconfig,T1574.002,SA-3
action.hacking.variety.exploit_misconfig,T1574.002,SA-4
action.hacking.variety.exploit_misconfig,T1574.002,SA-8
action.hacking.variety.exploit_misconfig,T1574.002,SA-10
action.hacking.variety.exploit_misconfig,T1574.002,SA-11
action.hacking.variety.exploit_misconfig,T1574.002,SA-15
action.hacking.variety.exploit_misconfig,T1574.002,SA-16
action.hacking.variety.exploit_misconfig,T1574.002,SA-17
action.hacking.variety.exploit_misconfig,T1210,SC-2
action.hacking.variety.exploit_misconfig,T1210,SC-3
action.hacking.variety.exploit_misconfig,T1558.004,SC-4
action.hacking.variety.exploit_misconfig,T1210,SC-7
action.hacking.variety.exploit_misconfig,T1210,SC-18
action.hacking.variety.exploit_misconfig,T1210,SC-26
action.hacking.variety.exploit_misconfig,T1210,SC-29
action.hacking.variety.exploit_misconfig,T1210,SC-30
action.hacking.variety.exploit_misconfig,T1548.004,SC-34
action.hacking.variety.exploit_misconfig,T1210,SC-35
action.hacking.variety.exploit_misconfig,T1210,SC-39
action.hacking.variety.exploit_misconfig,T1210,SC-46
action.hacking.variety.exploit_misconfig,T1548.002,SI-2
action.hacking.variety.exploit_misconfig,T1210,SI-3
action.hacking.variety.exploit_misconfig,T1548.002,SI-4
action.hacking.variety.exploit_misconfig,T1210,SI-5
action.hacking.variety.exploit_misconfig,T1210,SI-7
action.hacking.variety.exploit_misconfig,T1190,SI-10
action.hacking.variety.exploit_misconfig,T1548.004,SI-12
action.hacking.variety.exploit_misconfig,T1548.004,SI-16
action.hacking.variety.exploit_vuln,T1574.004,AC-2
action.hacking.variety.exploit_vuln,T1574.004,AC-3
action.hacking.variety.exploit_vuln,T1574.004,AC-4
action.hacking.variety.exploit_vuln,T1574.004,AC-5
action.hacking.variety.exploit_vuln,T1574.004,AC-6
action.hacking.variety.exploit_vuln,T1574.004,CA-7
action.hacking.variety.exploit_vuln,T1068,CA-8
action.hacking.variety.exploit_vuln,T1574.004,CM-2
action.hacking.variety.exploit_vuln,T1574.004,CM-6
action.hacking.variety.exploit_vuln,T1068,CM-7
action.hacking.variety.exploit_vuln,T1574.004,CM-8
action.hacking.variety.exploit_vuln,T1574.004,RA-5
action.hacking.variety.exploit_vuln,T1068,RA-10
action.hacking.variety.exploit_vuln,T1574.002,SA-3
action.hacking.variety.exploit_vuln,T1574.002,SA-4
action.hacking.variety.exploit_vuln,T1574.002,SA-8
action.hacking.variety.exploit_vuln,T1574.002,SA-10
action.hacking.variety.exploit_vuln,T1574.002,SA-11
action.hacking.variety.exploit_vuln,T1574.002,SA-15
action.hacking.variety.exploit_vuln,T1574.002,SA-16
action.hacking.variety.exploit_vuln,T1574.002,SA-17
action.hacking.variety.exploit_vuln,T1068,SC-2
action.hacking.variety.exploit_vuln,T1068,SC-3
action.hacking.variety.exploit_vuln,T1068,SC-7
action.hacking.variety.exploit_vuln,T1068,SC-18
action.hacking.variety.exploit_vuln,T1068,SC-26
action.hacking.variety.exploit_vuln,T1068,SC-29
action.hacking.variety.exploit_vuln,T1068,SC-30
action.hacking.variety.exploit_vuln,T1068,SC-35
action.hacking.variety.exploit_vuln,T1068,SC-39
action.hacking.variety.exploit_vuln,T1068,SI-2
action.hacking.variety.exploit_vuln,T1574.004,SI-3
action.hacking.variety.exploit_vuln,T1574.004,SI-4
action.hacking.variety.exploit_vuln,T1068,SI-5
action.hacking.variety.exploit_vuln,T1574.004,SI-7
action.hacking.variety.exploit_vuln,T1574.001,SI-10
action.hacking.variety.footprinting,T1087.004,AC-2
action.hacking.variety.footprinting,T1602.002,AC-3
action.hacking.variety.footprinting,T1602.002,AC-4
action.hacking.variety.footprinting,T1087.004,AC-5
action.hacking.variety.footprinting,T1087.004,AC-6
action.hacking.variety.footprinting,T1602.002,AC-16
action.hacking.variety.footprinting,T1602.002,AC-17
action.hacking.variety.footprinting,T1602.002,AC-18
action.hacking.variety.footprinting,T1602.002,AC-19
action.hacking.variety.footprinting,T1602.002,AC-20
action.hacking.variety.footprinting,T1602.002,CA-7
action.hacking.variety.footprinting,T1602.002,CM-2
action.hacking.variety.footprinting,T1602.002,CM-6
action.hacking.variety.footprinting,T1602.002,CM-7
action.hacking.variety.footprinting,T1602.002,CM-8
action.hacking.variety.footprinting,T1119,CP-6
action.hacking.variety.footprinting,T1119,CP-7
action.hacking.variety.footprinting,T1119,CP-9
action.hacking.variety.footprinting,T1087.004,IA-2
action.hacking.variety.footprinting,T1602.002,IA-3
action.hacking.variety.footprinting,T1602.002,IA-4
action.hacking.variety.footprinting,T1087.004,IA-8
action.hacking.variety.footprinting,T1602.002,SC-3
action.hacking.variety.footprinting,T1602.002,SC-4
action.hacking.variety.footprinting,T1602.002,SC-7
action.hacking.variety.footprinting,T1602.002,SC-8
action.hacking.variety.footprinting,T1602.002,SC-28
action.hacking.variety.footprinting,T1119,SC-36
action.hacking.variety.footprinting,T1613,SC-43
action.hacking.variety.footprinting,T1602.002,SI-3
action.hacking.variety.footprinting,T1602.002,SI-4
action.hacking.variety.footprinting,T1602.002,SI-7
action.hacking.variety.footprinting,T1602.002,SI-10
action.hacking.variety.footprinting,T1602.002,SI-12
action.hacking.variety.footprinting,T1602.002,SI-15
action.hacking.variety.footprinting,T1119,SI-23
action.hacking.variety.forced_browsing,T1539,AC-3
action.hacking.variety.forced_browsing,T1539,AC-6
action.hacking.variety.forced_browsing,T1539,AC-20
action.hacking.variety.forced_browsing,T1539,CA-7
action.hacking.variety.forced_browsing,T1539,CM-2
action.hacking.variety.forced_browsing,T1539,CM-6
action.hacking.variety.forced_browsing,T1539,IA-2
action.hacking.variety.forced_browsing,T1539,IA-5
action.hacking.variety.forced_browsing,T1539,SI-3
action.hacking.variety.forced_browsing,T1539,SI-4
action.hacking.variety.format_string_attack,T1068,AC-2
action.hacking.variety.format_string_attack,T1068,AC-4
action.hacking.variety.format_string_attack,T1068,AC-6
action.hacking.variety.format_string_attack,T1068,CA-7
action.hacking.variety.format_string_attack,T1068,CA-8
action.hacking.variety.format_string_attack,T1068,CM-2
action.hacking.variety.format_string_attack,T1068,CM-6
action.hacking.variety.format_string_attack,T1068,CM-7
action.hacking.variety.format_string_attack,T1068,CM-8
action.hacking.variety.format_string_attack,T1068,RA-5
action.hacking.variety.format_string_attack,T1068,RA-10
action.hacking.variety.format_string_attack,T1068,SC-2
action.hacking.variety.format_string_attack,T1068,SC-3
action.hacking.variety.format_string_attack,T1068,SC-7
action.hacking.variety.format_string_attack,T1068,SC-18
action.hacking.variety.format_string_attack,T1068,SC-26
action.hacking.variety.format_string_attack,T1068,SC-29
action.hacking.variety.format_string_attack,T1068,SC-30
action.hacking.variety.format_string_attack,T1068,SC-35
action.hacking.variety.format_string_attack,T1068,SC-39
action.hacking.variety.format_string_attack,T1068,SI-2
action.hacking.variety.format_string_attack,T1068,SI-3
action.hacking.variety.format_string_attack,T1068,SI-4
action.hacking.variety.format_string_attack,T1068,SI-5
action.hacking.variety.format_string_attack,T1068,SI-7
action.hacking.variety.fuzz_testing,T1068,AC-2
action.hacking.variety.fuzz_testing,T1068,AC-4
action.hacking.variety.fuzz_testing,T1068,AC-6
action.hacking.variety.fuzz_testing,T1068,CA-7
action.hacking.variety.fuzz_testing,T1068,CA-8
action.hacking.variety.fuzz_testing,T1068,CM-2
action.hacking.variety.fuzz_testing,T1068,CM-6
action.hacking.variety.fuzz_testing,T1068,CM-7
action.hacking.variety.fuzz_testing,T1068,CM-8
action.hacking.variety.fuzz_testing,T1068,RA-5
action.hacking.variety.fuzz_testing,T1068,RA-10
action.hacking.variety.fuzz_testing,T1068,SC-2
action.hacking.variety.fuzz_testing,T1068,SC-3
action.hacking.variety.fuzz_testing,T1068,SC-7
action.hacking.variety.fuzz_testing,T1068,SC-18
action.hacking.variety.fuzz_testing,T1068,SC-26
action.hacking.variety.fuzz_testing,T1068,SC-29
action.hacking.variety.fuzz_testing,T1068,SC-30
action.hacking.variety.fuzz_testing,T1068,SC-35
action.hacking.variety.fuzz_testing,T1068,SC-39
action.hacking.variety.fuzz_testing,T1068,SI-2
action.hacking.variety.fuzz_testing,T1068,SI-3
action.hacking.variety.fuzz_testing,T1068,SI-4
action.hacking.variety.fuzz_testing,T1068,SI-5
action.hacking.variety.fuzz_testing,T1068,SI-7
action.hacking.variety.http_request_smuggling,T1185,AC-2
action.hacking.variety.http_request_smuggling,T1185,AC-3
action.hacking.variety.http_request_smuggling,T1203,AC-4
action.hacking.variety.http_request_smuggling,T1185,AC-5
action.hacking.variety.http_request_smuggling,T1185,AC-6
action.hacking.variety.http_request_smuggling,T1185,CA-7
action.hacking.variety.http_request_smuggling,T1185,CM-2
action.hacking.variety.http_request_smuggling,T1185,CM-5
action.hacking.variety.http_request_smuggling,T1203,CM-8
action.hacking.variety.http_request_smuggling,T1185,IA-2
action.hacking.variety.http_request_smuggling,T1203,SC-2
action.hacking.variety.http_request_smuggling,T1203,SC-3
action.hacking.variety.http_request_smuggling,T1203,SC-7
action.hacking.variety.http_request_smuggling,T1203,SC-18
action.hacking.variety.http_request_smuggling,T1203,SC-29
action.hacking.variety.http_request_smuggling,T1203,SC-30
action.hacking.variety.http_request_smuggling,T1203,SC-39
action.hacking.variety.http_request_smuggling,T1185,SI-3
action.hacking.variety.http_request_smuggling,T1185,SI-4
action.hacking.variety.http_request_smuggling,T1185,SI-7
action.hacking.variety.http_request_splitting,T1185,AC-2
action.hacking.variety.http_request_splitting,T1185,AC-3
action.hacking.variety.http_request_splitting,T1203,AC-4
action.hacking.variety.http_request_splitting,T1185,AC-5
action.hacking.variety.http_request_splitting,T1185,AC-6
action.hacking.variety.http_request_splitting,T1185,CA-7
action.hacking.variety.http_request_splitting,T1185,CM-2
action.hacking.variety.http_request_splitting,T1185,CM-5
action.hacking.variety.http_request_splitting,T1203,CM-8
action.hacking.variety.http_request_splitting,T1185,IA-2
action.hacking.variety.http_request_splitting,T1203,SC-2
action.hacking.variety.http_request_splitting,T1203,SC-3
action.hacking.variety.http_request_splitting,T1203,SC-7
