victim.orgsize,action,actor,victim.region,victim.industry.name,attribute,incident,IDnum
unknown,error,partner,apac,mining,i,F,134
large,hacking,partner,lac,agriculture,i,F,135
large,hacking,partner,apac,mining,a,F,136
unknown,malware,external,apac,public,c,F,137
unknown,malware,internal,lac,finance,a,F,138
small,malware,external,lac,agriculture,i,F,139
large,error,internal,na,manufacturing,i,F,140
unknown,hacking,internal,lac,retail,i,F,141
small,error,partner,na,transportation,c,T,142
large,malware,external,lac,public,c,F,143
small,malware,partner,lac,educational,a,F,144
small,hacking,external,na,information,c,T,145
small,misuse,internal,apac,entertainment,i,F,146
unknown,error,internal,global,information,c,T,147
large,hacking,internal,lac,entertainment,i,F,148
large,hacking,internal,na,realestate,c,F,149
unknown,hacking,external,emea,professional,c,T,150
small,misuse,internal,na,manufacturing,i,F,151
small,error,internal,na,public,c,T,152
unknown,malware,external,emea,mining,a,F,153
large,hacking,external,na,otherservices,i,F,154
large,malware,external,na,information,i,T,155
unknown,social,internal,emea,manufacturing,a,F,156
unknown,misuse,internal,na,mining,a,F,157
unknown,hacking,internal,lac,healthcare,i,F,158
large,misuse,external,apac,retail,a,F,159
small,error,internal,emea,information,c,T,160
small,misuse,partner,apac,construction,a,F,161
unknown,error,external,lac,retail,a,F,162
unknown,social,external,lac,healthcare,i,F,163
small,misuse,internal,na,healthcare,i,T,164
small,misuse,internal,apac,retail,a,F,165
large,error,internal,na,professional,c,T,166
large,misuse,internal,na,information,c,T,167
large,misuse,partner,na,healthcare,c,T,168
small,hacking,external,apac,retail,c,T,169
small,unknown,external,na,otherservices,c,T,170
small,malware,external,global,retail,i,T,171
unknown,hacking,partner,emea,trade,a,F,172
unknown,error,partner,apac,professional,i,F,173
large,hacking,external,emea,construction,i,F,174
small,misuse,external,apac,mining,c,F,175
large,hacking,internal,emea,educational,a,F,176
small,hacking,external,apac,healthcare,c,T,177
large,error,internal,na,healthcare,c,T,178
large,misuse,internal,na,accommodation,c,T,179
large,malware,internal,emea,professional,c,F,180
small,hacking,external,na,healthcare,c,T,181
unknown,misuse,internal,emea,public,c,T,182
large,misuse,internal,na,healthcare,c,T,183
unknown,misuse,internal,na,healthcare,c,T,184
small,error,unknown,lac,otherservices,c,T,185
small,malware,internal,lac,transportation,c,F,186
small,malware,external,na,accommodation,i,T,187
small,error,internal,na,professional,c,T,188
large,hacking,internal,emea,retail,i,F,189
small,error,internal,na,information,c,T,190
large,social,external,na,construction,i,F,191
large,error,partner,na,otherservices,c,F,192
small,error,internal,emea,utilities,c,F,193
large,error,external,emea,retail,i,F,194
large,misuse,internal,na,information,c,T,195
small,error,partner,emea,manufacturing,c,T,196
small,malware,internal,lac,mining,c,F,197
small,error,internal,na,information,c,T,198
unknown,malware,external,emea,manufacturing,c,F,199
small,misuse,internal,na,public,c,T,200
large,error,internal,na,educational,c,T,201
unknown,hacking,external,na,healthcare,c,T,202
small,social,partner,na,otherservices,i,F,203
large,misuse,external,na,finance,a,F,204
large,error,internal,na,public,c,T,205
large,hacking,external,emea,retail,c,F,206
small,error,internal,apac,healthcare,c,T,207
small,misuse,external,lac,retail,a,F,208
large,malware,external,apac,trade,i,T,209
small,unknown,external,na,entertainment,c,T,210
large,misuse,partner,emea,trade,i,F,211
unknown,malware,partner,emea,public,c,F,212
large,error,internal,emea,public,c,T,213
small,hacking,internal,emea,agriculture,a,F,214
unknown,misuse,internal,na,public,c,T,215
large,malware,internal,na,professional,c,F,216
unknown,social,internal,apac,manufacturing,a,F,217
unknown,malware,internal,na,entertainment,a,F,218
small,error,internal,na,healthcare,c,T,219
small,error,internal,apac,administrative,c,T,220
large,malware,partner,apac,finance,i,F,221
unknown,misuse,external,na,retail,a,F,222
small,misuse,internal,na,healthcare,c,T,223
small,malware,external,na,public,i,T,224
unknown,error,partner,lac,management,c,F,225
small,hacking,external,na,entertainment,c,T,226
small,hacking,partner,apac,manufacturing,c,F,227
unknown,error,partner,na,mining,c,F,228
large,hacking,external,na,healthcare,c,T,229
unknown,misuse,internal,na,healthcare,i,T,230
small,error,internal,emea,finance,c,T,231
large,unknown,external,na,retail,i,T,232
large,error,internal,na,healthcare,c,T,233
small,error,internal,na,educational,c,T,234
unknown,error,internal,apac,public,c,T,235
unknown,social,external,na,administrative,c,F,236
large,social,partner,emea,construction,a,F,237
small,error,internal,na,healthcare,c,T,238
small,misuse,internal,na,healthcare,c,F,239
unknown,hacking,external,global,information,i,T,240
small,malware,internal,lac,utilities,i,F,241
large,error,internal,apac,public,c,T,242
unknown,misuse,external,lac,construction,c,F,243
large,error,partner,na,healthcare,c,T,244
small,misuse,partner,emea,educational,c,F,245
small,error,external,lac,retail,i,F,246
unknown,social,internal,na,public,i,T,247
small,malware,partner,emea,public,i,F,248
unknown,misuse,internal,na,healthcare,i,T,249
small,error,internal,na,healthcare,c,T,250
small,error,internal,na,information,c,T,251
small,social,internal,lac,management,i,F,252
unknown,misuse,external,emea,healthcare,i,F,253
large,error,internal,na,educational,c,T,254
small,error,internal,emea,information,c,T,255
small,misuse,internal,emea,retail,c,F,256
unknown,misuse,partner,lac,agriculture,i,F,257
large,misuse,partner,apac,administrative,c,F,258
small,misuse,internal,na,healthcare,c,T,259
large,unknown,internal,na,entertainment,c,T,260
large,error,internal,na,retail,c,T,261
small,unknown,unknown,na,healthcare,c,T,262
small,misuse,internal,emea,manufacturing,a,F,263
large,unknown,external,na,finance,i,T,264
unknown,error,internal,lac,construction,i,F,265
small,malware,external,na,public,i,T,266
small,error,internal,emea,manufacturing,c,T,267
large,malware,external,emea,healthcare,i,T,268
small,social,partner,na,agriculture,i,F,269
large,misuse,partner,lac,retail,c,F,270
large,misuse,internal,lac,construction,i,F,271
small,misuse,external,apac,construction,a,F,272
unknown,hacking,external,apac,management,c,F,273
unknown,error,internal,lac,healthcare,a,F,274
small,error,internal,na,healthcare,c,T,275
small,hacking,external,na,public,c,T,276
small,misuse,internal,lac,realestate,a,F,277
small,social,partner,lac,trade,c,F,278
small,error,internal,apac,healthcare,c,T,279
unknown,social,external,na,public,i,T,280
large,misuse,internal,na,healthcare,c,T,281
small,hacking,external,emea,information,c,T,282
large,error,partner,na,utilities,c,F,283
small,unknown,external,na,finance,i,T,284
large,misuse,internal,na,public,c,T,285
unknown,error,partner,apac,information,a,F,286
large,hacking,partner,na,agriculture,a,F,287
large,malware,external,na,healthcare,i,T,288
small,misuse,external,na,accommodation,c,T,289
small,hacking,internal,emea,construction,a,F,290
small,unknown,external,na,retail,c,T,291
small,unknown,unknown,emea,otherservices,i,T,292
unknown,malware,external,na,healthcare,i,T,293
large,error,external,lac,professional,i,F,294
large,misuse,internal,na,healthcare,c,T,295
large,hacking,external,apac,information,c,T,296
unknown,hacking,external,na,public,c,T,297
unknown,misuse,external,na,healthcare,c,T,298
unknown,error,external,emea,utilities,c,F,299
unknown,unknown,external,na,healthcare,c,T,300
large,social,external,lac,finance,i,F,301
small,misuse,internal,na,healthcare,c,T,302
unknown,error,internal,na,healthcare,c,T,303
large,error,internal,emea,public,c,T,304
small,social,partner,apac,utilities,c,F,305
large,error,internal,na,retail,c,T,306
small,social,internal,apac,public,a,F,307
small,error,internal,na,professional,c,T,308
large,unknown,external,na,manufacturing,c,T,309
unknown,error,internal,na,healthcare,c,T,310
large,social,external,emea,public,i,T,311
large,hacking,internal,lac,transportation,i,F,312
unknown,hacking,external,na,educational,c,T,313
small,error,internal,na,public,c,T,314
unknown,misuse,internal,na,healthcare,c,T,315
unknown,hacking,partner,apac,construction,a,F,316
small,hacking,internal,apac,information,a,F,317
small,error,internal,apac,professional,c,T,318
large,misuse,internal,na,public,c,T,319
large,error,internal,na,healthcare,c,T,320
large,hacking,internal,na,mining,c,F,321
small,misuse,internal,lac,public,c,T,322
large,hacking,external,na,educational,a,F,323
small,unknown,external,na,finance,i,T,324
unknown,malware,internal,apac,healthcare,a,F,325
small,error,internal,na,professional,i,T,326
unknown,misuse,external,na,public,i,F,327
small,misuse,partner,emea,mining,c,F,328
small,hacking,internal,apac,manufacturing,c,F,329
small,error,internal,na,entertainment,a,F,330
small,hacking,external,lac,entertainment,c,F,331
large,hacking,external,na,healthcare,c,T,332
small,misuse,internal,na,professional,c,T,333
large,misuse,partner,lac,finance,a,F,334
unknown,error,external,emea,transportation,i,F,335
small,malware,internal,lac,information,a,F,336
unknown,error,internal,na,finance,c,T,337
small,unknown,external,na,public,c,T,338
large,error,internal,emea,accommodation,c,T,339
unknown,social,partner,emea,administrative,c,F,340
unknown,social,partner,apac,finance,i,F,341
unknown,misuse,internal,na,healthcare,c,T,342
unknown,misuse,partner,na,educational,a,F,343
small,hacking,external,na,information,c,T,344
small,hacking,external,na,healthcare,c,T,345
small,hacking,external,na,healthcare,c,T,346
large,social,external,lac,finance,c,F,347
unknown,error,partner,apac,agriculture,i,F,348
large,misuse,external,lac,healthcare,c,F,349
small,social,partner,lac,finance,a,F,350
small,error,internal,na,information,c,T,351
unknown,misuse,external,lac,information,c,F,352
small,unknown,external,na,accommodation,i,T,353
unknown,error,internal,emea,public,c,T,354
unknown,error,internal,apac,public,c,T,355
large,misuse,external,apac,information,i,T,356
large,malware,internal,lac,administrative,a,F,357
small,unknown,external,na,finance,c,T,358
small,malware,partner,lac,mining,c,F,359
unknown,hacking,partner,lac,trade,i,F,360
unknown,malware,internal,lac,educational,i,F,361
small,malware,external,apac,mining,i,T,362
small,error,internal,emea,professional,c,T,363
small,unknown,external,na,retail,i,T,364
unknown,misuse,external,apac,construction,c,F,365
small,error,external,lac,realestate,c,F,366
small,hacking,external,apac,professional,c,T,367
small,error,internal,na,agriculture,c,F,368
small,error,internal,na,professional,c,T,369
large,social,external,na,manufacturing,i,F,370
small,social,external,na,administrative,i,T,371
large,malware,external,emea,realestate,a,F,372
small,unknown,external,na,retail,c,T,373
large,misuse,internal,na,healthcare,c,T,374
large,misuse,internal,na,healthcare,a,F,375
small,malware,partner,lac,entertainment,i,F,376
small,hacking,external,apac,information,c,T,377
small,misuse,partner,emea,healthcare,c,T,378
unknown,misuse,internal,apac,finance,c,T,379
large,hacking,external,na,realestate,c,F,380
large,malware,partner,emea,manufacturing,i,F,381
unknown,error,internal,na,professional,c,T,382
large,misuse,internal,na,healthcare,c,T,383
small,social,internal,na,manufacturing,a,F,384
small,misuse,internal,na,realestate,c,T,385
small,unknown,external,na,retail,c,T,386
small,misuse,internal,emea,otherservices,c,F,387
small,misuse,external,emea,professional,i,F,388
unknown,hacking,external,emea,construction,a,F,389
small,hacking,external,na,manufacturing,c,T,390
small,misuse,partner,emea,public,a,F,391
small,misuse,internal,na,healthcare,i,T,392
large,social,partner,emea,management,c,F,393
unknown,hacking,external,lac,agriculture,i,F,394
unknown,social,external,emea,agriculture,a,F,395
large,malware,internal,lac,public,c,F,396
large,hacking,internal,lac,accommodation,i,F,397
small,error,external,emea,otherservices,i,F,398
unknown,malware,external,emea,agriculture,a,F,399
unknown,misuse,partner,na,agriculture,a,F,400
unknown,malware,partner,emea,realestate,a,F,401
large,hacking,external,na,public,c,T,402
small,misuse,external,emea,trade,i,F,403
unknown,error,internal,na,healthcare,c,T,404
small,misuse,internal,na,public,c,T,405
small,social,internal,na,trade,a,F,406
large,misuse,external,na,information,a,F,407
unknown,hacking,external,na,agriculture,a,F,408
large,malware,partner,emea,agriculture,a,F,409
small,error,internal,global,information,c,T,410
small,error,internal,emea,information,c,T,411
small,error,partner,na,information,i,F,412
large,misuse,internal,apac,public,c,T,413
large,misuse,internal,na,healthcare,c,T,414
large,hacking,external,na,healthcare,c,T,415
small,error,internal,emea,professional,c,T,416
large,social,external,na,healthcare,i,T,417
unknown,social,partner,apac,manufacturing,i,F,418
large,error,internal,na,educational,c,T,419
unknown,error,internal,apac,public,c,T,420
large,misuse,internal,na,realestate,c,T,421
unknown,malware,internal,na,accommodation,a,F,422
small,hacking,external,na,information,c,T,423
small,error,internal,lac,manufacturing,i,F,424
large,social,partner,lac,construction,i,F,425
large,hacking,external,global,retail,i,T,426
small,hacking,external,emea,finance,c,T,427
unknown,misuse,partner,lac,entertainment,i,F,428
large,social,internal,lac,information,i,F,429
large,misuse,internal,na,administrative,a,F,430
large,error,external,lac,public,i,F,431
small,malware,external,lac,administrative,i,F,432
unknown,misuse,internal,na,healthcare,i,T,433
large,misuse,internal,emea,information,c,T,434
large,social,partner,na,management,a,F,435
small,misuse,external,emea,information,c,T,436
large,error,partner,lac,agriculture,i,F,437
unknown,misuse,internal,na,healthcare,c,T,438
small,misuse,internal,na,healthcare,c,T,439
large,misuse,external,apac,public,c,F,440
large,social,partner,emea,retail,i,F,441
unknown,social,partner,lac,finance,c,F,442
large,misuse,partner,na,trade,i,F,443
small,malware,external,na,educational,i,T,444
unknown,error,internal,na,public,c,T,445
unknown,misuse,external,na,finance,i,F,446
large,error,partner,na,retail,c,T,447
large,hacking,partner,lac,professional,a,F,448
large,hacking,internal,emea,healthcare,a,F,449
small,unknown,partner,na,public,c,T,450
small,hacking,partner,apac,accommodation,a,F,451
large,error,partner,na,information,c,T,452
unknown,hacking,external,emea,retail,a,F,453
small,misuse,partner,na,trade,a,F,454
unknown,error,internal,emea,public,c,T,455
large,unknown,external,na,finance,i,T,456
small,malware,external,apac,construction,i,F,457
unknown,social,internal,lac,entertainment,a,F,458
large,error,internal,apac,manufacturing,i,F,459
large,malware,external,apac,administrative,i,T,460
large,error,internal,apac,professional,i,F,461
large,unknown,external,na,public,c,T,462
large,error,internal,na,retail,c,F,463
small,error,internal,na,transportation,c,T,464
large,hacking,internal,apac,professional,c,F,465
unknown,hacking,external,emea,public,c,T,466
unknown,hacking,partner,apac,healthcare,a,F,467
small,error,internal,emea,finance,c,T,468
small,error,external,emea,mining,i,F,469
small,misuse,internal,lac,agriculture,c,F,470
unknown,error,external,lac,manufacturing,c,F,471
large,hacking,internal,emea,realestate,c,F,472
large,misuse,partner,emea,healthcare,i,F,473
unknown,malware,external,apac,transportation,c,F,474
large,error,internal,na,public,c,T,475
unknown,error,external,emea,retail,c,F,476
small,malware,external,emea,manufacturing,i,F,477
large,social,partner,emea,entertainment,i,F,478
small,error,partner,na,management,i,F,479
large,unknown,external,na,finance,c,T,480
unknown,hacking,partner,emea,mining,c,F,481
large,error,external,emea,transportation,c,T,482
small,error,internal,emea,professional,c,T,483
small,hacking,external,na,accommodation,c,T,484
small,malware,external,apac,accommodation,a,F,485
unknown,error,partner,na,healthcare,c,T,486
small,misuse,external,emea,transportation,c,F,487
unknown,social,partner,lac,entertainment,a,F,488
small,hacking,internal,na,educational,c,T,489
unknown,malware,partner,emea,management,c,F,490
small,social,partner,apac,administrative,i,F,491
small,hacking,external,lac,accommodation,i,F,492
large,error,internal,na,information,c,T,493
large,misuse,internal,emea,healthcare,c,T,494
small,error,external,lac,mining,i,F,495
unknown,social,internal,lac,healthcare,c,F,496
small,social,internal,na,realestate,a,F,497
unknown,social,external,lac,otherservices,a,F,498
small,malware,internal,apac,retail,i,F,499
large,social,internal,apac,agriculture,i,F,500
large,malware,external,na,professional,i,T,501
large,social,internal,lac,public,c,F,502
small,malware,external,na,construction,i,F,503
small,error,partner,lac,administrative,i,F,504
small,social,external,na,management,c,F,505
large,social,external,emea,administrative,i,T,506
small,hacking,external,na,entertainment,c,T,507
unknown,error,internal,apac,accommodation,c,F,508
small,error,internal,emea,public,c,T,509
large,misuse,internal,na,healthcare,c,T,510
large,error,internal,lac,retail,c,T,511
unknown,error,partner,lac,manufacturing,i,F,512
small,hacking,external,na,public,c,T,513
unknown,malware,external,apac,management,c,F,514
unknown,social,partner,apac,realestate,c,F,515
large,social,partner,na,educational,a,F,516
unknown,misuse,internal,na,healthcare,i,T,517
unknown,hacking,external,na,healthcare,c,T,518
unknown,error,external,lac,utilities,a,F,519
small,misuse,internal,na,retail,c,T,520
unknown,misuse,internal,na,retail,c,T,521
small,error,internal,na,otherservices,c,T,522
small,error,internal,na,public,c,T,523
large,misuse,internal,emea,professional,i,F,524
small,misuse,partner,lac,agriculture,a,F,525
large,hacking,internal,emea,trade,a,F,526
large,misuse,internal,lac,administrative,c,F,527
unknown,misuse,partner,lac,finance,c,F,528
small,malware,external,apac,entertainment,c,F,529
unknown,social,external,emea,administrative,c,F,530
large,misuse,internal,na,healthcare,c,T,531
large,error,internal,na,public,c,T,532
large,hacking,internal,na,agriculture,c,F,533
large,error,internal,apac,information,c,T,534
small,error,internal,na,manufacturing,c,T,535
large,hacking,internal,na,otherservices,c,F,536
large,malware,internal,na,transportation,a,F,537
unknown,misuse,partner,emea,entertainment,c,F,538
small,misuse,internal,na,professional,c,T,539
small,unknown,external,na,retail,i,T,540
unknown,misuse,partner,na,public,c,F,541
large,hacking,internal,lac,manufacturing,a,F,542
large,social,internal,emea,transportation,i,F,543
unknown,error,internal,apac,healthcare,c,T,544
small,malware,internal,na,educational,a,F,545
small,misuse,internal,na,construction,c,T,546
small,hacking,external,apac,information,c,T,547
small,malware,external,apac,transportation,c,F,548
large,misuse,internal,na,retail,c,T,549
small,social,internal,emea,otherservices,c,F,550
small,error,internal,lac,utilities,a,F,551
small,hacking,internal,lac,entertainment,c,F,552
large,misuse,internal,apac,finance,i,F,553
unknown,misuse,internal,na,otherservices,c,T,554
unknown,unknown,internal,na,healthcare,c,T,555
unknown,misuse,internal,emea,healthcare,c,T,556
unknown,misuse,internal,na,healthcare,c,T,557
small,hacking,external,na,professional,c,T,558
small,error,internal,lac,information,c,T,559
small,error,internal,na,trade,i,F,560
large,hacking,external,na,information,c,T,561
large,malware,external,lac,entertainment,i,F,562
unknown,misuse,internal,emea,accommodation,i,F,563
unknown,social,external,na,professional,c,F,564
large,misuse,partner,emea,transportation,c,F,565
small,hacking,external,apac,finance,c,T,566
large,error,internal,emea,healthcare,c,T,567
unknown,error,internal,apac,unknown,c,T,568
small,error,internal,emea,professional,c,T,569
small,error,internal,emea,information,c,T,570
unknown,hacking,external,global,information,c,T,571
small,misuse,internal,na,healthcare,i,T,572
unknown,malware,partner,lac,trade,a,F,573
small,malware,external,na,accommodation,i,T,574
small,error,internal,apac,professional,c,T,575
unknown,social,external,emea,entertainment,i,F,576
unknown,malware,partner,lac,construction,c,F,577
large,hacking,partner,emea,public,i,F,578
small,social,external,na,transportation,i,T,579
small,social,external,lac,information,c,F,580
large,error,internal,na,information,c,T,581
small,malware,external,na,professional,i,T,582
unknown,error,internal,emea,healthcare,c,T,583
large,social,external,na,finance,i,T,584
small,misuse,external,lac,administrative,c,T,585
small,hacking,partner,apac,agriculture,a,F,586
small,social,internal,na,professional,i,F,587
small,error,external,na,trade,c,F,588
unknown,social,partner,lac,administrative,c,F,589
unknown,hacking,unknown,na,healthcare,c,T,590
large,unknown,external,apac,public,c,T,591
large,hacking,external,apac,manufacturing,c,T,592
large,misuse,partner,emea,realestate,c,F,593
unknown,error,partner,apac,otherservices,a,F,594
unknown,malware,external,na,entertainment,i,T,595
small,social,external,na,healthcare,i,T,596
large,malware,external,emea,administrative,i,T,597
large,misuse,internal,apac,manufacturing,c,T,598
unknown,social,partner,lac,management,i,F,599
small,unknown,unknown,na,healthcare,c,T,600
large,hacking,external,na,otherservices,c,T,601
small,malware,external,na,healthcare,i,T,602
large,error,internal,emea,professional,c,T,603
unknown,error,external,apac,public,a,F,604
large,social,partner,lac,public,a,F,605
small,unknown,external,na,finance,i,T,606
small,misuse,external,lac,finance,c,F,607
small,social,external,na,finance,i,T,608
small,hacking,external,emea,information,i,T,609
large,malware,external,na,accommodation,i,T,610
small,social,partner,na,information,i,F,611
small,error,internal,na,retail,c,T,612
large,error,internal,na,educational,c,T,613
small,hacking,external,na,healthcare,i,T,614
unknown,malware,external,na,entertainment,i,T,615
large,hacking,external,apac,healthcare,i,T,616
large,hacking,external,na,healthcare,c,T,617
unknown,social,internal,lac,construction,a,F,618
large,hacking,internal,na,public,c,T,619
large,social,external,na,public,c,F,620
large,error,internal,na,healthcare,i,T,621
large,error,internal,emea,public,c,T,622
small,misuse,internal,na,accommodation,c,T,623
unknown,error,partner,emea,information,i,F,624
small,error,internal,na,public,c,T,625
large,misuse,internal,na,healthcare,c,T,626
large,hacking,external,apac,transportation,i,F,627
small,misuse,partner,na,information,c,T,628
small,misuse,external,lac,professional,c,F,629
small,malware,external,na,healthcare,i,T,630
large,misuse,partner,na,healthcare,c,T,631
large,hacking,external,na,manufacturing,c,T,632
unknown,malware,internal,lac,realestate,i,F,633
large,misuse,internal,emea,public,c,T,634
unknown,misuse,internal,na,healthcare,c,T,635
small,hacking,external,na,professional,c,T,636
large,error,partner,na,healthcare,c,T,637
small,unknown,external,na,healthcare,c,T,638
small,misuse,internal,na,finance,i,T,639
small,social,external,na,educational,i,T,640
large,misuse,partner,lac,trade,a,F,641
small,malware,internal,lac,finance,a,F,642
small,hacking,internal,emea,otherservices,a,F,643
unknown,error,internal,emea,utilities,c,T,644
large,misuse,internal,na,healthcare,i,T,645
unknown,malware,internal,na,trade,c,F,646
unknown,error,internal,lac,entertainment,c,T,647
small,error,internal,na,professional,c,T,648
large,hacking,external,na,public,c,T,649
large,error,partner,apac,trade,i,F,650
large,misuse,partner,na,educational,c,T,651
large,error,external,lac,utilities,a,F,652
large,misuse,partner,na,administrative,a,F,653
small,error,internal,na,healthcare,c,T,654
large,social,internal,na,mining,i,F,655
small,malware,external,na,healthcare,i,T,656
unknown,hacking,external,na,professional,c,F,657
small,social,external,na,educational,i,T,658
small,misuse,internal,apac,public,c,T,659
small,error,internal,emea,healthcare,c,T,660
large,hacking,external,na,healthcare,c,T,661
unknown,error,internal,global,professional,c,T,662
small,error,internal,na,finance,c,T,663
small,misuse,internal,na,accommodation,c,T,664
large,hacking,external,emea,educational,i,T,665
small,error,internal,emea,information,c,T,666
unknown,hacking,external,apac,otherservices,a,F,667
unknown,hacking,partner,apac,mining,c,F,668
small,unknown,external,na,finance,c,T,669
large,malware,external,na,retail,c,F,670
large,hacking,external,emea,public,c,T,671
unknown,error,external,emea,public,a,F,672
unknown,error,internal,na,healthcare,c,T,673
large,malware,external,na,trade,i,F,674
large,hacking,internal,na,transportation,c,F,675
large,error,external,lac,administrative,c,F,676
small,social,internal,lac,manufacturing,c,F,677
small,malware,internal,lac,professional,a,F,678
unknown,error,partner,apac,administrative,a,F,679
small,misuse,partner,lac,professional,i,F,680
small,hacking,external,lac,public,c,T,681
